0.59,0.48,0.56,0.605,0.595,0.71,0.675,0.76,0.615,0.535,0.55,0.435,0.675,0.63,0.515,0.49,0.725,0.52,0.61,0.415
0.19,0.145,0.545,0.375,0.3,0.355,0.33,0.34,0.16,0.165,0.255,0.355,0.295,0.335,0.14,0.23,0.25,0.4,0.375,0.18
0.16,0.15,0.15,0.065,0.09,0.215,0.225,0.11,0.14,0.145,0.12,0.3,0.07,0.18,0.015,0.03,0.13,0.195,0.08,0.135
0.05,0.03,0.345,0.01,0.035,0.015,0.035,0.71,0.04,0.125,0.095,0.055,0.13,0.065,0.005,0.085,0.09,0.075,0.1,0.005
0.005,0.035,0.005,0.005,0.01,0.025,0.01,0.67,0.025,0.735,0.7,0.02,0.095,0.04,0.02,0.06,0.065,0.065,0.455,0.02
